coingecko_id,name,symbol,market_cap_rank,asset_platform,token_type,homepage,categories,supply_circulating,supply_total,supply_max
bitcoin,Bitcoin,BTC,1,,native,http://www.bitcoin.org,"Smart Contract Platform, Layer 1 (L1), FTX Holdings, Proof of Work (PoW), Bitcoin Ecosystem, GMCI 30 Index, GMCI Index, Coinbase 50 Index",19897056.0,19897056.0,21000000.0
ethereum,Ethereum,ETH,2,,native,https://www.ethereum.org/,"Smart Contract Platform, Layer 1 (L1), Ethereum Ecosystem, FTX Holdings, Multicoin Capital Portfolio, Proof of Stake (PoS), Alameda Research Portfolio, Andreessen Horowitz (a16z) Portfolio, GMCI Layer 1 Index, GMCI 30 Index, Delphi Ventures Portfolio, Galaxy Digital Portfolio, GMCI Index, World Liberty Financial Portfolio, Coinbase 50 Index",120711047.8307868,120711047.8307868,
ripple,XRP,XRP,3,,native,https://ripple.com/currency/,"FTX Holdings, Pantera Capital Portfolio, Andreessen Horowitz (a16z) Portfolio, XRP Ledger Ecosystem, GMCI 30 Index, Blockchain Capital Portfolio, GMCI Index, Made in USA, Coinbase 50 Index",59239646627.0,99985901574.0,100000000000.0
tether,Tether,USDT,4,ethereum,ethereum,https://tether.to/,"Stablecoins, USD Stablecoin, Solana Ecosystem, Avalanche Ecosystem, Near Protocol Ecosystem, Celo Ecosystem, Ethereum Ecosystem, Kaia Ecosystem, Aptos Ecosystem, FTX Holdings, TON Ecosystem, Tron Ecosystem, Kava Ecosystem, Fiat-backed Stablecoin, World Liberty Financial Portfolio",162513452583.2173,162513452583.2173,
binancecoin,BNB,BNB,5,,native,https://www.binance.com,"Smart Contract Platform, Exchange-based Tokens, BNB Chain Ecosystem, Centralized Exchange (CEX) Token, Layer 1 (L1), Ethereum Ecosystem, Alleged SEC Securities, FTX Holdings, Proof of Stake (PoS), GMCI Layer 1 Index, GMCI 30 Index, GMCI Index",139288698.4,139288698.4,200000000.0
solana,Solana,SOL,6,,native,https://solana.com/,"Smart Contract Platform, Solana Ecosystem, Layer 1 (L1), Alleged SEC Securities, FTX Holdings, Multicoin Capital Portfolio, Proof of Stake (PoS), Alameda Research Portfolio, Andreessen Horowitz (a16z) Portfolio, GMCI Layer 1 Index, GMCI 30 Index, Delphi Ventures Portfolio, GMCI Index, Polychain Capital Portfolio, Made in USA, Coinbase 50 Index",538318062.5785406,606040677.9941611,
usd-coin,USDC,USDC,7,ethereum,ethereum,https://www.circle.com/en/usdc,"Stablecoins, USD Stablecoin, Solana Ecosystem, Avalanche Ecosystem, Polygon Ecosystem, Near Protocol Ecosystem, Arbitrum Ecosystem, Celo Ecosystem, Ethereum Ecosystem, Algorand Ecosystem, Optimism Ecosystem, Aptos Ecosystem, ZkSync Ecosystem, Sui Ecosystem, Base Ecosystem, Tron Ecosystem, Hedera Ecosystem, Stellar Ecosystem, XRP Ledger Ecosystem, Sonic Ecosystem, Fiat-backed Stablecoin, Sei Network Ecosystem, World Chain Ecosystem, World Liberty Financial Portfolio, Made in USA, Unichain Ecosystem",64960644338.71405,65121394662.55536,
dogecoin,Dogecoin,DOGE,8,,native,http://dogecoin.com/,"Smart Contract Platform, Meme, Dog-Themed, Elon Musk-Inspired, Proof of Work (PoW), GMCI Meme Index, GMCI 30 Index, GMCI Index, Coinbase 50 Index, 4chan-Themed",150161406383.7052,150236426383.7052,
staked-ether,Lido Staked Ether,STETH,9,ethereum,ethereum,https://www.lido.fi,"Decentralized Finance (DeFi), Liquid Staking Tokens, Ethereum Ecosystem, Liquid Staked ETH, Liquid Staking",9053237.507270744,9053237.507270744,
tron,TRON,TRX,10,,native,https://tron.network,"Smart Contract Platform, Layer 1 (L1), Alleged SEC Securities, FTX Holdings, DWF Labs Portfolio, Tron Ecosystem, Proof of Stake (PoS), GMCI Layer 1 Index, GMCI 30 Index, GMCI Index, World Liberty Financial Portfolio, Made in China",94731639454.03886,94731766455.5997,
